case_stratum,baseline_strategy_id,strategy_id,num_cases,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,delta_ci_low,delta_ci_high,min_case_delta,max_case_delta,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_requery_rate
known_boundary,max_value,requery_l1_h8,3,36,18,29,0.5,0.8055555555555556,0.3055555555555556,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.5,11,0,25,0.0009765625,14.694444444444445,14.055555555555555,1.2636463844797179,0.9565217391304348,0.409723436822895
known_boundary,max_value,difficulty_requery_l1_t0.088588_h8,3,36,18,27,0.5,0.75,0.25,0.1388888888888889,0.3888888888888889,0.08333333333333333,0.5,9,0,27,0.00390625,14.694444444444445,14.472222222222221,1.2176146384479718,0.9848771266540642,0.33070583563037126
known_boundary,max_value,difficulty_requery_l1_t0.1_h8,3,36,18,26,0.5,0.7222222222222222,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,0.5,8,0,28,0.0078125,14.694444444444445,14.63888888888889,1.1838844797178132,0.996219281663516,0.27487567949384256
known_boundary,max_value,difficulty_requery_l1_t0.2_h8,3,36,18,26,0.5,0.7222222222222222,0.2222222222222222,0.1111111111111111,0.3333333333333333,0.0,0.5,8,0,28,0.0078125,14.694444444444445,14.63888888888889,1.1838844797178132,0.996219281663516,0.27487567949384256
known_boundary,max_value,phase_l1_r0.3,3,36,18,25,0.5,0.6944444444444444,0.19444444444444445,0.05555555555555555,0.3333333333333333,0.08333333333333333,0.3333333333333333,8,1,27,0.0390625,14.694444444444445,13.527777777777779,1.0,0.9206049149338374,0.0
known_boundary,max_value,margin_l1_v0.002_u0,3,36,18,24,0.5,0.6666666666666666,0.16666666666666666,0.027777777777777776,0.3055555555555556,0.08333333333333333,0.25,7,1,28,0.0703125,14.694444444444445,13.75,1.0,0.9357277882797731,0.0
known_boundary,max_value,action_l1_replay,3,36,18,23,0.5,0.6388888888888888,0.1388888888888889,0.0,0.3055555555555556,0.08333333333333333,0.16666666666666666,7,2,27,0.1796875,14.694444444444445,14.027777777777779,1.0,0.9546313799621928,0.0
known_boundary,max_value,action_l1,3,36,18,22,0.5,0.6111111111111112,0.1111111111111111,-0.027777777777777776,0.25,0.08333333333333333,0.16666666666666666,6,2,28,0.2890625,14.694444444444445,13.972222222222221,1.0,0.9508506616257089,0.0
known_boundary,max_value,phase_l1_r0.5,3,36,18,22,0.5,0.6111111111111112,0.1111111111111111,-0.05555555555555555,0.2777777777777778,0.08333333333333333,0.16666666666666666,7,3,26,0.34375,14.694444444444445,14.055555555555555,1.0,0.9565217391304348,0.0
known_boundary,max_value,difficulty_l1_t0.2,3,36,18,22,0.5,0.6111111111111112,0.1111111111111111,-0.027777777777777776,0.25,0.0,0.16666666666666666,6,2,28,0.2890625,14.694444444444445,14.527777777777779,1.0,0.9886578449905482,0.0
known_boundary,max_value,requery_l1_h4,3,36,18,22,0.5,0.6111111111111112,0.1111111111111111,-0.05555555555555555,0.2777777777777778,0.0,0.16666666666666666,8,4,24,0.3876953125,14.694444444444445,18.666666666666668,1.4510556573056574,1.2703213610586013,0.3961419985000012
known_boundary,max_value,action_l2,3,36,18,22,0.5,0.6111111111111112,0.1111111111111111,-0.1111111111111111,0.3333333333333333,-0.08333333333333333,0.25,12,8,16,0.5034446716308594,14.694444444444445,14.527777777777779,1.0,0.9886578449905482,0.0
known_boundary,max_value,difficulty_requery_l1_t0.088588_h12,3,36,18,22,0.5,0.6111111111111112,0.1111111111111111,-0.05555555555555555,0.3055555555555556,-0.25,0.3333333333333333,9,5,22,0.4239501953125,14.694444444444445,13.777777777777779,1.0896164021164019,0.9376181474480152,0.33587962962962964
known_boundary,max_value,action_l0.5,3,36,18,21,0.5,0.5833333333333334,0.08333333333333333,-0.027777777777777776,0.19444444444444445,0.0,0.16666666666666666,4,1,31,0.375,14.694444444444445,13.944444444444445,1.0,0.9489603024574669,0.0
known_boundary,max_value,difficulty_l1_t0.088588,3,36,18,21,0.5,0.5833333333333334,0.08333333333333333,-0.08333333333333333,0.25,0.0,0.16666666666666666,6,3,27,0.5078125,14.694444444444445,14.166666666666666,1.0,0.9640831758034026,0.0
known_boundary,max_value,difficulty_requery_l1_t0.088588_h4,3,36,18,21,0.5,0.5833333333333334,0.08333333333333333,-0.08333333333333333,0.25,0.0,0.16666666666666666,7,4,25,0.548828125,14.694444444444445,17.583333333333332,1.363693944943945,1.1965973534971643,0.3161367755942227
known_boundary,max_value,consensus_l2,3,36,18,20,0.5,0.5555555555555556,0.05555555555555555,-0.1388888888888889,0.25,0.0,0.08333333333333333,7,5,24,0.7744140625,14.694444444444445,14.36111111111111,1.0,0.9773156899810964,0.0
known_boundary,max_value,difficulty_l1_t0.1,3,36,18,20,0.5,0.5555555555555556,0.05555555555555555,-0.1111111111111111,0.2222222222222222,0.0,0.16666666666666666,6,4,26,0.75390625,14.694444444444445,14.5,1.0,0.9867674858223062,0.0
known_boundary,max_value,margin_l1_v0.0005_u0,3,36,18,20,0.5,0.5555555555555556,0.05555555555555555,-0.08333333333333333,0.2222222222222222,0.0,0.08333333333333333,5,3,28,0.7265625,14.694444444444445,14.11111111111111,1.0,0.9603024574669187,0.0
known_boundary,max_value,consensus_l0.5,3,36,18,20,0.5,0.5555555555555556,0.05555555555555555,-0.05555555555555555,0.16666666666666666,-0.16666666666666666,0.25,4,2,30,0.6875,14.694444444444445,14.027777777777779,1.0,0.9546313799621928,0.0
known_boundary,max_value,requery_l1_h12,3,36,18,20,0.5,0.5555555555555556,0.05555555555555555,-0.1388888888888889,0.25,-0.25,0.25,8,6,22,0.79052734375,14.694444444444445,14.416666666666666,1.1064339981006646,0.9810964083175803,0.40616181657848327
known_boundary,max_value,max_value_replay,3,36,18,19,0.5,0.5277777777777778,0.027777777777777776,-0.05555555555555555,0.1111111111111111,0.0,0.08333333333333333,2,1,33,1.0,14.694444444444445,14.527777777777779,1.0,0.9886578449905482,0.0
known_boundary,max_value,consensus_l1,3,36,18,17,0.5,0.4722222222222222,-0.027777777777777776,-0.2222222222222222,0.16666666666666666,-0.25,0.08333333333333333,6,7,23,1.0,14.694444444444445,14.444444444444445,1.0,0.9829867674858223,0.0
known_boundary,max_value,margin_l1_v0.002_u0.5,1,12,6,9,0.5,0.75,0.25,-0.08333333333333333,0.5833333333333334,0.25,0.25,4,1,7,0.375,11.666666666666666,11.166666666666666,1.0,0.9571428571428572,0.0
known_boundary,max_value,margin_l1_v0.01_u0,1,12,6,8,0.5,0.6666666666666666,0.16666666666666666,-0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,3,1,8,0.625,11.666666666666666,11.25,1.0,0.9642857142857143,0.0
known_boundary,max_value,phase_l1_r0.7,1,12,6,8,0.5,0.6666666666666666,0.16666666666666666,-0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,3,1,8,0.625,11.666666666666666,11.583333333333334,1.0,0.992857142857143,0.0
