source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,planning_surrogate_error_threshold,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,surrogate_alarm_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960388,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,156,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960485,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,152,10,success,False,False,10,0.0,0.0,0.0,0.1,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960582,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,153,10,success,False,False,10,0.0,0.0,0.0,0.1,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960679,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,137,9,success,False,False,9,0.0,0.0,0.0,0.0,16.0,9.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960776,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,154,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960873,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,134,9,success,False,False,9,0.0,0.0,0.0,0.0,16.0,9.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960970,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,161,11,success,False,False,11,0.0,0.0,0.0,0.09090909090909091,16.0,11.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961067,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,151,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961164,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,152,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961261,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,161,11,success,False,False,11,0.0,0.0,0.0,0.18181818181818182,16.0,11.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961358,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,149,10,success,False,False,10,0.0,0.0,0.0,0.1,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961455,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,174,11,success,False,False,11,0.0,0.0,0.0,0.09090909090909091,16.0,11.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961552,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,154,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961649,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,154,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961746,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,133,9,success,False,False,9,0.0,0.0,0.0,0.1111111111111111,16.0,9.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__max_value__l0,max_value,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,961843,max_value,0.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,153,10,success,False,False,10,0.0,0.0,0.0,0.0,16.0,10.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__uncertainty_penalty_action__l1p0,action_l1,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960000,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,136,9,success,False,False,9,0.2222222222222222,0.0,0.0,0.0,16.0,9.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__uncertainty_penalty_action__l1p0,action_l1,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960097,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,129,9,success,False,False,9,0.4444444444444444,0.0,0.0,0.0,16.0,9.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__uncertainty_penalty_action__l1p0,action_l1,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960194,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,134,9,success,False,False,9,0.4444444444444444,0.0,0.0,0.0,16.0,9.0,1.0
surrogate_confirmatory_20260819/surrogate_confirmatory_20260819__known_goal_mug__controls__libero_goal_with_mug__task9__init0__uncertainty_penalty_action__l1p0,action_l1,goal_mug_task9_init0_surrogate_confirm,libero_goal_with_mug,9,0,960291,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,holdout,16,True,151,10,success,False,False,10,0.5,0.0,0.0,0.0,16.0,10.0,1.0
